dt,open,high,low,close,volume
2020-01-02,4.65e-06,4.72e-06,4.62e-06,4.69e-06,25328513.0
2020-01-03,4.69e-06,4.75e-06,4.61e-06,4.66e-06,43527066.0
2020-01-04,4.66e-06,4.69e-06,4.61e-06,4.68e-06,25959654.0
2020-01-05,4.68e-06,4.73e-06,4.63e-06,4.71e-06,30087484.0
2020-01-06,4.71e-06,4.87e-06,4.65e-06,4.8e-06,72810857.0
2020-01-07,4.81e-06,4.85e-06,4.52e-06,4.54e-06,93084878.0
2020-01-08,4.53e-06,4.64e-06,4.4e-06,4.51e-06,99429396.0
2020-01-09,4.51e-06,4.63e-06,4.49e-06,4.62e-06,45514014.0
2020-01-10,4.62e-06,4.63e-06,4.48e-06,4.5e-06,88008676.0
2020-01-11,4.5e-06,4.62e-06,4.49e-06,4.59e-06,44321862.0
2020-01-12,4.59e-06,4.63e-06,4.53e-06,4.63e-06,42385985.0
2020-01-13,4.63e-06,4.64e-06,4.53e-06,4.55e-06,33227489.0
2020-01-14,4.55e-06,4.84e-06,4e-06,4.72e-06,239431246.0
2020-01-15,4.72e-06,4.89e-06,4.65e-06,4.85e-06,222041257.0
2020-01-16,4.85e-06,4.9e-06,4.65e-06,4.77e-06,93554521.0
2020-01-17,4.78e-06,5.13e-06,4.74e-06,5.03e-06,186791665.0
2020-01-18,5.04e-06,5.12e-06,4.88e-06,5.03e-06,131006780.0
2020-01-19,5.03e-06,5.06e-06,4.79e-06,4.83e-06,121826301.0
2020-01-20,4.83e-06,5.1e-06,4.82e-06,5.07e-06,91802591.0
2020-01-21,5.07e-06,5.4e-06,5.04e-06,5.28e-06,203953788.0
2020-01-22,5.27e-06,5.34e-06,5.19e-06,5.27e-06,85322079.0
2020-01-23,5.26e-06,5.3e-06,5.04e-06,5.14e-06,111636611.0
2020-01-24,5.14e-06,5.37e-06,5.01e-06,5.33e-06,108624791.0
2020-01-25,5.32e-06,5.36e-06,5.16e-06,5.18e-06,60342678.0
2020-01-26,5.18e-06,5.21e-06,5.12e-06,5.2e-06,73401316.0
2020-01-27,5.2e-06,5.5e-06,5.12e-06,5.38e-06,174088309.0
2020-01-28,5.38e-06,6.03e-06,5.24e-06,5.64e-06,466076028.0
2020-01-29,5.64e-06,6.15e-06,5.61e-06,5.73e-06,310305866.0
2020-01-30,5.73e-06,5.99e-06,5.67e-06,5.91e-06,218331954.0
