dt,open,high,low,close,volume
2020-01-02,2.8e-07,2.9e-07,2.8e-07,2.8e-07,94924647.0
2020-01-03,2.8e-07,2.9e-07,2.7e-07,2.8e-07,94082048.0
2020-01-04,2.8e-07,2.9e-07,2.7e-07,2.7e-07,142393008.0
2020-01-05,2.8e-07,2.9e-07,2.7e-07,2.9e-07,66034278.0
2020-01-06,2.9e-07,2.9e-07,2.7e-07,2.8e-07,94234298.0
2020-01-07,2.7e-07,2.8e-07,2.6e-07,2.6e-07,121004332.0
2020-01-08,2.6e-07,2.7e-07,2.5e-07,2.6e-07,379783904.0
2020-01-09,2.6e-07,2.8e-07,2.5e-07,2.8e-07,129021948.0
2020-01-10,2.7e-07,2.9e-07,2.6e-07,2.7e-07,404619983.0
2020-01-11,2.7e-07,2.8e-07,2.6e-07,2.7e-07,158733190.0
2020-01-12,2.8e-07,2.8e-07,2.6e-07,2.6e-07,60782347.0
2020-01-13,2.6e-07,2.8e-07,2.6e-07,2.7e-07,83479834.0
2020-01-14,2.7e-07,2.7e-07,2.5e-07,2.6e-07,534912871.0
2020-01-15,2.7e-07,2.9e-07,2.6e-07,2.6e-07,502870393.0
2020-01-16,2.6e-07,2.7e-07,2.6e-07,2.7e-07,53737740.0
2020-01-17,2.7e-07,2.9e-07,2.6e-07,2.8e-07,309368843.0
2020-01-18,2.8e-07,2.9e-07,2.7e-07,2.9e-07,232630615.0
2020-01-19,2.9e-07,2.9e-07,2.7e-07,2.7e-07,147245514.0
2020-01-20,2.8e-07,2.8e-07,2.7e-07,2.7e-07,102094774.0
2020-01-21,2.8e-07,2.8e-07,2.7e-07,2.8e-07,31186693.0
2020-01-22,2.7e-07,2.8e-07,2.6e-07,2.7e-07,155004302.0
2020-01-23,2.7e-07,2.8e-07,2.6e-07,2.7e-07,84576175.0
2020-01-24,2.7e-07,2.7e-07,2.6e-07,2.7e-07,31735582.0
2020-01-25,2.7e-07,2.8e-07,2.6e-07,2.6e-07,66702203.0
2020-01-26,2.7e-07,2.7e-07,2.6e-07,2.7e-07,24419212.0
2020-01-27,2.7e-07,2.8e-07,2.6e-07,2.7e-07,80561170.0
2020-01-28,2.7e-07,2.7e-07,2.6e-07,2.6e-07,77863989.0
2020-01-29,2.6e-07,2.7e-07,2.5e-07,2.6e-07,217663173.0
2020-01-30,2.6e-07,2.6e-07,2.5e-07,2.6e-07,54430489.0
2020-01-31,2.6e-07,2.6e-07,2.5e-07,2.6e-07,57159102.0
2020-02-01,2.5e-07,2.6e-07,2.5e-07,2.6e-07,42948693.0
2020-02-02,2.6e-07,2.7e-07,2.5e-07,2.6e-07,329239310.0
2020-02-03,2.7e-07,2.7e-07,2.5e-07,2.6e-07,214190814.0
